alpha,V_min_S3,r_S3,eps_S3,converged_S3,V_min_T3,r_T3,eps_T3,converged_T3,V_min_Nil3,r_Nil3,eps_Nil3,converged_Nil3,Preferred_Topology
-5.0,-421.10312111314494,2.0000000215827614,3.5183658642538945e-09,True,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,5.406831656357254,1.4998816611670718,5.0,True,S3
-4.5,-421.1031211131457,1.99999997045218,-2.751496251553587e-10,True,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,5.3578050975370255,1.4998803400981746,5.0,True,S3
-4.0,-421.1031211131446,1.9999999870950043,-4.7926443271324954e-09,True,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,5.308778495859326,1.4998790459956695,5.0,True,S3
-3.5,-421.1031211131455,1.9999999982659122,-3.058140546604848e-09,True,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,5.25975185134492,1.499877716163462,5.0,True,S3
-3.0,-421.10312111314573,1.9999999907402606,-1.9442680609795845e-09,True,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,5.21072516394713,1.4998764242650695,5.0,True,S3
-2.5,-421.10312111314494,1.9999999958682457,-5.06828169350316e-09,True,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,5.161698433708506,1.4998750748151823,5.0,True,S3
-2.0,-421.1031211131459,2.00000000435463,-3.457583427300393e-09,True,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,5.112671660609749,1.499873757267512,5.0,True,S3
-1.5,-421.10312111314533,1.9999999921602123,-5.13140295752111e-09,True,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,5.063644844656762,1.49987246908662,5.0,True,S3
-1.0,-421.1031211131452,1.9999999622728648,-5.163501605008873e-09,True,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,5.014617985836694,1.4998711362333819,5.0,True,S3
-0.5,-421.10312111314573,2.00000001373906,-4.22369181972609e-09,True,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,4.965591084162601,1.4998698590096946,5.0,True,S3
0.0,-421.1031211131451,1.9999999434161895,8.339247700901899e-09,True,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,4.916564139644329,1.4998685263752496,5.0,True,S3
0.5,-2911594559643.7646,0.01,-0.95,False,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,-902515880280.1753,0.01,-0.95,False,S3
1.0,-5823189121593.63,0.01,-0.95,False,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,-1805031772228.3518,0.01,-0.95,False,S3
1.5,-8734783683543.5,0.01,-0.95,False,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,-2707547664176.528,0.01,-0.95,False,S3
2.0,-11646378245493.365,0.01,-0.95,False,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,-3610063556124.7046,0.01,-0.95,False,S3
2.5,-14557972807443.236,0.01,-0.95,False,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,-4512579448072.881,0.01,-0.95,False,S3
3.0,-17469567369393.105,0.01,-0.95,False,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,-5415095340021.058,0.01,-0.95,False,S3
3.5,-20381161931342.973,0.01,-0.95,False,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,-6317611231969.233,0.01,-0.95,False,S3
4.0,-23292756493292.84,0.01,-0.95,False,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,-7220127123917.41,0.01,-0.95,False,S3
4.5,-26204351055242.71,0.01,-0.95,False,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,-8122643015865.587,0.01,-0.95,False,S3
5.0,-29115945617192.562,0.01,-0.95,False,-5.537065765375955e-12,1.5000000007800822,0.6913793103448276,True,-9025158907813.762,0.01,-0.95,False,S3
